frame,x,y,radius
109,317.5,149.5,14.5
109,368.0,134.5,16.0
110,119.5,199.0,15.5
110,63.5,79.0,16.5
110,334.0,316.0,16.0
110,316.0,383.0,15.0
110,317.5,149.5,14.5
110,367.0,136.5,16.0
111,120.5,199.0,15.5
111,63.5,79.0,16.5
111,334.0,316.0,16.0
111,316.0,383.0,15.0
111,317.5,149.5,14.5
111,367.0,136.5,16.0
112,120.5,200.0,15.5
112,63.5,79.0,16.5
112,334.0,317.0,16.0
112,316.0,383.0,15.0
112,317.5,149.5,14.5
112,367.0,136.5,16.0
113,120.5,199.0,15.5
113,63.5,79.0,16.5
113,334.0,317.0,16.0
113,316.0,383.0,15.0
113,317.5,149.5,14.5
113,366.0,137.5,16.0
114,120.5,199.0,15.5
114,63.5,79.0,16.5
114,333.0,317.0,16.0
114,316.0,384.0,15.0
114,317.5,149.5,14.5
114,366.0,137.5,16.0
115,120.5,199.0,15.5
115,63.5,79.0,16.5
115,333.0,318.0,16.0
115,316.0,383.0,15.0
115,317.5,149.5,14.5
115,366.0,137.5,16.0
116,120.5,199.0,15.5
116,63.5,79.0,16.5
116,333.0,317.0,16.0
116,316.0,384.0,15.0
116,317.5,149.5,14.5
116,365.0,137.5,16.0
117,120.5,199.0,15.5
117,63.5,79.0,16.5
117,333.0,317.0,16.0
117,316.0,384.0,15.0
117,317.5,150.5,14.5
117,364.0,137.5,16.0
118,121.5,199.0,15.5
118,63.5,79.0,16.5
118,333.0,317.0,16.0
118,315.0,384.0,15.0
118,317.5,150.5,14.5
118,365.0,137.5,16.0
119,121.5,199.0,15.5
119,63.5,79.0,16.5
119,333.0,317.0,16.0
119,315.0,384.0,15.0
119,317.5,150.5,14.5
119,365.0,138.5,16.0
120,121.5,199.0,15.5
120,62.5,79.0,16.5
120,333.0,317.0,16.0
120,315.0,384.0,15.0
120,317.5,150.5,14.5
120,366.0,138.5,16.0
121,121.5,199.0,15.5
121,62.5,79.0,16.5
121,333.0,317.0,16.0
121,315.0,384.0,15.0
121,317.5,150.5,14.5
121,365.0,138.5,16.0
122,122.5,200.0,15.5
122,63.5,79.0,16.5
122,334.0,317.0,16.0
122,315.0,384.0,15.0
